months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud probability
441,55,29-07-2009,IN,250/500,500,1270.29,4000000,449421,MALE,College,armed-forces,exercise,husband,24000,-50500,19-02-2015,Parked Car,?,Minor Damage,None,VA,Arlington,9988 Rock Ridge,4,1,NO,0,0,NO,6400,640,640,5120,Honda,Civic,2002,0.06838571428571427
275,45,06-12-1991,IN,500/1000,2000,1447.77,0,605756,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900,18-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,8,3,YES,1,1,?,64320,5360,10720,48240,Accura,MDX,1998,0.4051785714285716
257,44,12-07-2006,OH,100/300,1000,1280.88,0,433981,MALE,MD,other-service,basketball,other-relative,59400,-32200,06-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,5312 Francis Ridge,21,1,NO,0,1,NO,46980,0,5220,41760,Accura,TL,2002,0.06750873015873013
135,30,21-01-2009,IN,500/1000,2000,1341.24,0,601701,FEMALE,MD,farming-fishing,skydiving,wife,37100,-46500,19-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Riverwood,9317 Apache Ave,18,3,NO,0,1,NO,32670,5940,2970,23760,Honda,Accord,2003,0.2782698412698413
105,28,13-12-1995,OH,250/500,500,1082.36,0,452216,FEMALE,Associate,prof-specialty,golf,own-child,0,0,24-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,9724 Maple St,12,3,NO,2,2,NO,60500,12100,6050,42350,Audi,A5,1995,0.44794999999999996
190,40,27-01-2007,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,02-02-2015,Parked Car,?,Trivial Damage,None,SC,Hillsdale,8404 Embaracadero St,10,1,?,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,0.17266031746031757
153,34,04-03-2006,IL,500/1000,1000,873.64,4000000,432934,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,30-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,?,68400,11400,11400,45600,Ford,F150,2007,0.29483412698412687
289,49,03-02-1993,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,18-01-2015,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,0.10307063492063487
13,21,18-10-2006,IN,100/300,1000,1556.31,0,463809,MALE,Associate,prof-specialty,golf,not-in-family,0,-75000,19-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Hillsdale,9580 MLK Ave,19,3,YES,2,0,YES,94930,8630,8630,77670,Accura,RSX,2014,0.3164198412698413
295,48,22-02-1992,OH,500/1000,1000,1332.07,0,609409,FEMALE,MD,exec-managerial,polo,unmarried,49700,-59100,28-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,1815 Cherokee Drive,20,2,NO,2,1,YES,86060,13240,13240,59580,Volkswagen,Passat,2002,0.17231587301587292
208,36,08-10-1995,OH,100/300,2000,1209.41,5000000,476185,MALE,JD,machine-op-inspct,base-jumping,wife,0,0,16-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,6681 Texas Ridge,15,3,YES,0,1,?,62810,11420,11420,39970,Nissan,Ultima,1999,0.11874126984126991
245,41,26-08-2013,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,28-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,0.4006119047619045
303,50,03-03-1997,IL,100/300,2000,836.11,5000000,464230,MALE,Masters,sales,camping,not-in-family,0,0,20-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Springfield,9751 Tree St,1,4,YES,1,2,NO,72840,12140,6070,54630,Dodge,Neon,2010,0.3154214285714284
289,45,28-10-1999,OH,250/500,2000,1221.41,0,466289,FEMALE,Masters,farming-fishing,movies,wife,46700,-72500,27-02-2015,Vehicle Theft,?,Trivial Damage,Police,WV,Riverwood,8742 4th St,9,1,NO,2,1,NO,2700,300,300,2100,Honda,Accord,2006,0.0603587301587301
169,38,07-01-2005,IL,100/300,1000,1555.94,0,459878,MALE,PhD,craft-repair,skydiving,own-child,23300,0,25-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Riverwood,3508 Washington St,12,3,NO,1,3,YES,79080,6590,13180,59310,Mercedes,C300,2012,0.1026666666666667
101,27,23-11-1997,IL,500/1000,500,982.7,6000000,440865,FEMALE,College,transport-moving,video-games,unmarried,30800,-43700,13-01-2015,Parked Car,?,Minor Damage,None,SC,Arlington,7930 Texas Ave,9,1,NO,1,0,NO,5170,940,470,3760,Toyota,Camry,2001,0.20533015873015892
380,53,25-05-2011,IL,250/500,2000,1166.62,6000000,602500,MALE,Associate,priv-house-serv,bungie-jumping,wife,0,0,24-02-2015,Parked Car,?,Trivial Damage,Police,NC,Northbend,8991 Texas Hwy,23,1,NO,0,3,NO,5700,570,570,4560,Saab,93,2001,0.031830158730158715
446,61,07-04-1999,IL,100/300,1000,1232.79,0,441967,FEMALE,High School,adm-clerical,reading,unmarried,49900,-62100,07-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Springfield,5812 Weaver Ave,3,1,YES,2,0,YES,70500,7050,14100,49350,Suburu,Forrestor,2007,0.2493936507936509
164,38,31-10-1997,IL,250/500,2000,1269.76,0,467743,FEMALE,PhD,transport-moving,yachting,not-in-family,44300,0,17-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,4614 MLK Ave,4,1,NO,1,3,YES,90000,18000,9000,63000,Ford,Fusion,2015,0.14498571428571447
50,44,18-10-2000,OH,250/500,2000,1188.51,0,447469,MALE,College,handlers-cleaners,bungie-jumping,unmarried,0,-65800,08-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,4710 Lincoln Hwy,15,3,?,1,2,NO,61100,6110,12220,42770,Dodge,Neon,2008,0.19883968253968268
61,25,29-01-1998,IN,100/300,2000,988.06,0,460579,FEMALE,Masters,other-service,dancing,not-in-family,0,0,05-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Northbend,7976 Britain Drive,1,3,YES,1,0,NO,32320,4040,4040,24240,Dodge,RAM,2000,0.17043095238095254
